Tabela;Campo;Elemento dados;Tipo dados;Compri;Casas decimais;Descrição Breve;Grupo;unity_catalog_path;business_name;table_description
BKPF;ADISC;;STRING;;;Additional manually applied discount amount.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Additional Discount;Accounting Document Header (FI). One record per accounting document.
BKPF;AEDAT;;STRING;;;Date the record was last changed in SAP (YYYYMMDD).;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Last Change Date;Accounting Document Header (FI). One record per accounting document.
BKPF;ARCID;;STRING;;;Document archiving ID. Links to the external document management system (DMS/GOS).;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Archive ID;Accounting Document Header (FI). One record per accounting document.
BKPF;AUSBK;;STRING;;;SAP technical field (AUSBK). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Ausbk;Accounting Document Header (FI). One record per accounting document.
BKPF;AWKEY;;STRING;;;Key of the originating transaction document (e.g. material document number).;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Reference Key;Accounting Document Header (FI). One record per accounting document.
BKPF;AWSYS;;STRING;;;SAP technical field (AWSYS). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Awsys;Accounting Document Header (FI). One record per accounting document.
BKPF;AWTYP;;STRING;;;Reference transaction type that originated this accounting document (e.g. RMRP=Invoice, MKPF=Goods Movement).;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Reference Transaction;Accounting Document Header (FI). One record per accounting document.
BKPF;BASW2;;STRING;;;SAP technical field (BASW2). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Basw2;Accounting Document Header (FI). One record per accounting document.
BKPF;BASW3;;STRING;;;SAP technical field (BASW3). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Basw3;Accounting Document Header (FI). One record per accounting document.
BKPF;BATCH;;STRING;;;SAP technical field (BATCH). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Batch;Accounting Document Header (FI). One record per accounting document.
BKPF;BELNR;;STRING;;;Accounting document number. Together with BUKRS and GJAHR forms the primary key of BKPF/BSEG.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Accounting Document No;Accounting Document Header (FI). One record per accounting document.
BKPF;BKTXT;;STRING;;;Free-text description in the document header.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Document Header Text;Accounting Document Header (FI). One record per accounting document.
BKPF;BLART;;STRING;;;Accounting document type (e.g. RN=Invoice-Vendor, ZP=Payment, SA=General Posting, DZ=Customer Payment).;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Document Type;Accounting Document Header (FI). One record per accounting document.
BKPF;BLDAT;;STRING;;;Date on the original external document (invoice date, etc.). May differ from posting date.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Document Date;Accounting Document Header (FI). One record per accounting document.
BKPF;BLIND;;STRING;;;SAP technical field (BLIND). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Blind;Accounting Document Header (FI). One record per accounting document.
BKPF;BRNCH;;STRING;;;SAP technical field (BRNCH). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Brnch;Accounting Document Header (FI). One record per accounting document.
BKPF;BSTAT;;STRING;;;Document status: ' '=Normal, A=Parked, V=Preliminary posting, Z=Plan line.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Document Status;Accounting Document Header (FI). One record per accounting document.
BKPF;BUDAT;;STRING;;;Date the accounting document was posted to the general ledger (YYYYMMDD).;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Posting Date;Accounting Document Header (FI). One record per accounting document.
BKPF;BUKRS;;STRING;;;Legal entity / company code (4-char). Links to T001. All FI documents are posted under a company code.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Company Code;Accounting Document Header (FI). One record per accounting document.
BKPF;BVORG;;STRING;;;Cross-company-code transaction number linking related company-code documents.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Number of Doc (Cross-CC);Accounting Document Header (FI). One record per accounting document.
BKPF;CASH_ALLOC;;STRING;;;SAP technical field (CASH_ALLOC). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Cash Alloc;Accounting Document Header (FI). One record per accounting document.
BKPF;CCINS;;STRING;;;SAP technical field (CCINS). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Ccins;Accounting Document Header (FI). One record per accounting document.
BKPF;CCNUM;;STRING;;;SAP technical field (CCNUM). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Ccnum;Accounting Document Header (FI). One record per accounting document.
BKPF;CPUDT;;STRING;;;SAP technical field (CPUDT). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Cpudt;Accounting Document Header (FI). One record per accounting document.
BKPF;CPUTM;;STRING;;;SAP technical field (CPUTM). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Cputm;Accounting Document Header (FI). One record per accounting document.
BKPF;CURT2;;STRING;;;SAP technical field (CURT2). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Curt2;Accounting Document Header (FI). One record per accounting document.
BKPF;CURT3;;STRING;;;SAP technical field (CURT3). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Curt3;Accounting Document Header (FI). One record per accounting document.
BKPF;DAY;;INT;;;Partition day (integer). Part of the Delta Lake partition scheme: YEAR/MONTH/DAY.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Day;Accounting Document Header (FI). One record per accounting document.
BKPF;DBBLG;;STRING;;;SAP technical field (DBBLG). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Dbblg;Accounting Document Header (FI). One record per accounting document.
BKPF;DOCCAT;;STRING;;;SAP technical field (DOCCAT). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Doccat;Accounting Document Header (FI). One record per accounting document.
BKPF;DOKID;;STRING;;;SAP technical field (DOKID). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Dokid;Accounting Document Header (FI). One record per accounting document.
BKPF;DUEFL;;STRING;;;Indicator for data medium exchange (electronic banking).;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Data Medium Exchange;Accounting Document Header (FI). One record per accounting document.
BKPF;EXCLUDE_FLAG;;STRING;;;SAP technical field (EXCLUDE_FLAG). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Exclude Flag;Accounting Document Header (FI). One record per accounting document.
BKPF;FIKRS;;STRING;;;SAP technical field (FIKRS). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Fikrs;Accounting Document Header (FI). One record per accounting document.
BKPF;FM_UMART;;STRING;;;SAP technical field (FM_UMART). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Fm Umart;Accounting Document Header (FI). One record per accounting document.
BKPF;FOLLOW_ON;;STRING;;;SAP technical field (FOLLOW_ON). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Follow On;Accounting Document Header (FI). One record per accounting document.
BKPF;FRATH;;DOUBLE;;;SAP technical field (FRATH). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Frath;Accounting Document Header (FI). One record per accounting document.
BKPF;GJAHR;;STRING;;;Fiscal year of the accounting document (4-digit, e.g. '2025').;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Fiscal Year;Accounting Document Header (FI). One record per accounting document.
